min_x_mm,min_y_mm,min_z_mm,size_x_mm,size_y_mm,size_z_mm,center_x_mm,center_y_mm,center_z_mm
-277.53,-465.97,-1461.34,300.00,200.00,100.00,-172.37,-317.42,-1418.04
-376.04,-277.66,-1752.61,300.00,200.00,100.00,-270.88,-129.11,-1709.30
-368.14,-278.65,-1652.92,300.00,200.00,100.00,-262.97,-130.11,-1609.62
-360.23,-279.65,-1553.24,300.00,200.00,100.00,-255.07,-131.10,-1509.94
-352.33,-280.64,-1453.56,300.00,200.00,100.00,-247.16,-132.10,-1410.26
-450.84,-92.33,-1744.82,300.00,200.00,100.00,-345.68,56.21,-1701.52
-442.93,-93.33,-1645.14,300.00,200.00,100.00,-337.77,55.22,-1601.84
-435.03,-94.32,-1545.46,300.00,200.00,100.00,-329.87,54.22,-1502.16
-427.12,-95.32,-1445.78,300.00,200.00,100.00,-321.96,53.23,-1402.48
-525.64,92.99,-1737.04,300.00,200.00,100.00,-420.47,241.53,-1693.74
-517.73,91.99,-1637.36,300.00,200.00,100.00,-412.57,240.54,-1594.06
-509.83,91.00,-1537.68,300.00,200.00,100.00,-404.66,239.54,-1494.38
-501.92,90.00,-1438.00,300.00,200.00,100.00,-396.76,238.55,-1394.69
200.36,-906.19,-1804.59,300.00,200.00,100.00,305.53,-757.65,-1761.29
208.27,-907.19,-1704.91,300.00,200.00,100.00,313.43,-758.64,-1661.60
216.17,-908.18,-1605.22,300.00,200.00,100.00,321.34,-759.64,-1561.92
224.08,-909.18,-1505.54,300.00,200.00,100.00,329.24,-760.63,-1462.24
125.57,-720.87,-1796.81,300.00,200.00,100.00,230.73,-572.32,-1753.50
133.47,-721.86,-1697.12,300.00,200.00,100.00,238.63,-573.32,-1653.82
141.38,-722.86,-1597.44,300.00,200.00,100.00,246.54,-574.31,-1554.14
149.28,-723.85,-1497.76,300.00,200.00,100.00,254.44,-575.31,-1454.46
50.77,-535.54,-1789.03,300.00,200.00,100.00,155.93,-387.00,-1745.72
58.67,-536.54,-1689.34,300.00,200.00,100.00,163.84,-387.99,-1646.04
66.58,-537.53,-1589.66,300.00,200.00,100.00,171.74,-388.99,-1546.36
74.48,-538.53,-1489.98,300.00,200.00,100.00,179.65,-389.98,-1446.68
-24.03,-350.22,-1781.24,300.00,200.00,100.00,81.14,-201.68,-1737.94
-16.12,-351.22,-1681.56,300.00,200.00,100.00,89.04,-202.67,-1638.26
-8.22,-352.21,-1581.88,300.00,200.00,100.00,96.95,-203.66,-1538.58
-0.31,-353.20,-1482.20,300.00,200.00,100.00,104.85,-204.66,-1438.90
-98.82,-164.90,-1773.46,300.00,200.00,100.00,6.34,-16.35,-1730.16
-90.92,-165.89,-1673.78,300.00,200.00,100.00,14.24,-17.35,-1630.48
-83.01,-166.89,-1574.10,300.00,200.00,100.00,22.15,-18.34,-1530.80
-75.11,-167.88,-1474.42,300.00,200.00,100.00,30.05,-19.34,-1431.11
-173.62,20.43,-1765.68,300.00,200.00,100.00,-68.46,168.97,-1722.38
-165.72,19.43,-1666.00,300.00,200.00,100.00,-60.55,167.98,-1622.70
-157.81,18.44,-1566.32,300.00,200.00,100.00,-52.65,166.98,-1523.02
-149.91,17.44,-1466.64,300.00,200.00,100.00,-44.74,165.99,-1423.33
-248.42,205.75,-1757.90,300.00,200.00,100.00,-143.26,354.30,-1714.60
-240.51,204.76,-1658.22,300.00,200.00,100.00,-135.35,353.30,-1614.92
-232.61,203.76,-1558.54,300.00,200.00,100.00,-127.45,352.31,-1515.23
-224.70,202.77,-1458.85,300.00,200.00,100.00,-119.54,351.31,-1415.55
477.58,-793.43,-1825.45,300.00,200.00,100.00,582.74,-644.88,-1782.14
